City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
235,ghat,24.9647,10.1728,34.78,8,0,3.21,LY,1694961781
236,isla mujeres,21.2311,-86.731,30.09,67,5,1.84,MX,1694961869
237,jiangyou,31.7667,104.7167,22.41,87,100,1.57,CN,1694961869
238,lazaro cardenas,17.9583,-102.2,26.18,83,98,2.43,MX,1694961869
239,san angelo,31.4638,-100.437,24.41,79,0,1.54,US,1694961870
240,gornopravdinsk,60.05,69.9,13.37,80,84,2.25,RU,1694961870
241,enriquillo,17.9,-71.2333,28.82,66,90,4.67,DO,1694961870
242,jacmel,18.2342,-72.5347,30.91,63,82,2.69,HT,1694961870
243,claveria,18.6074,121.0832,26.86,88,71,3.28,PH,1694961870
244,vilyuysk,63.7553,121.6247,0.72,98,100,4.01,RU,1694961870
245,kiruna,67.8557,20.2251,5.51,65,20,2.57,SE,1694961871
246,hasaki,35.7333,140.8333,26.27,87,23,7.16,JP,1694961871
247,san julian,21.0167,-102.1667,18.5,65,52,2.17,MX,1694961871
248,freetown,8.484,-13.2299,27.92,74,70,5.79,SL,1694961871
249,akureyri,65.6835,-18.0878,9.96,76,75,4.12,IS,1694961765
250,pavilosta,56.8879,21.1859,17.95,82,63,6.54,LV,1694961871
251,qarazhal,48.0078,70.7903,18.29,39,100,4.5,KZ,1694961871
252,ridder,50.355,83.5133,7.72,90,90,1.7,KZ,1694961872
253,kisaran,2.9845,99.6158,25.06,93,100,0.37,ID,1694961872
254,sao gabriel da cachoeira,-0.1303,-67.0892,27.89,78,75,1.54,BR,1694961872
255,plastun,44.7561,136.2939,15.49,96,100,1.72,RU,1694961872
256,lundazi,-12.2929,33.1782,28.94,19,10,5.88,ZM,1694961872
257,tocopilla,-22.092,-70.1979,20.41,65,5,1.91,CL,1694961872
258,torghay,49.6339,63.4981,17.88,50,99,3.09,KZ,1694961873
259,santa marta,11.2408,-74.199,31.03,74,20,4.12,CO,1694961744
260,sabang,5.8933,95.3214,28.55,75,16,4.75,ID,1694961873
261,susuman,62.7833,148.1667,-0.46,86,81,2.31,RU,1694961873
262,harnosand,62.6323,17.9379,14.01,48,12,3.77,SE,1694961601
263,mount pearl,47.5166,-52.7813,23.19,88,75,5.14,CA,1694961873
264,lesosibirsk,58.2358,92.4828,13.84,84,15,0.75,RU,1694961874
265,betio village,1.358,172.9211,27.02,76,100,7.18,KI,1694961874
266,aars,56.804,9.5144,20.44,74,62,5.54,DK,1694961874
267,murzuq,25.9155,13.9184,34.29,11,1,4.34,LY,1694961874
268,atafu village,-8.5421,-172.5159,28.28,80,10,6.94,TK,1694961874
269,porvoo,60.3923,25.6651,15.31,80,21,4.61,FI,1694961874
270,wau,7.7029,27.9953,23.66,94,82,3.63,SS,1694961875
271,vadso,70.0744,29.7487,8.09,93,75,2.57,NO,1694961875
272,klaksvik,62.2266,-6.589,11.51,89,85,9.62,FO,1694961603
273,arraial do cabo,-22.9661,-42.0278,27.98,65,0,6.69,BR,1694961875
274,cabanas,22.9758,-82.9219,30.34,62,28,1.68,CU,1694961875
275,muroto-misakicho,33.2833,134.15,27.24,78,3,1.54,JP,1694961875
276,kittila,67.6647,24.8936,5.34,93,75,5.14,FI,1694961876
277,salekhard,66.53,66.6019,5.15,92,100,7.01,RU,1694961876
278,pasuquin,18.3328,120.6177,26.97,89,75,1.54,PH,1694961876
279,kulebaki,55.4133,42.5325,13.01,62,13,0.87,RU,1694961876
280,quillacollo,-17.4,-66.2833,23.04,18,20,2.68,BO,1694961876
281,qarauyl,48.9451,79.255,12.78,73,51,3.06,KZ,1694961877
282,shamakhi,40.6314,48.6414,19.09,64,74,2.21,AZ,1694961877
283,santo antonio do ica,-3.1022,-67.9397,35.42,42,13,0.91,BR,1694961877
284,dapa,9.7594,126.0531,28.13,77,88,3.52,PH,1694961877
285,aoulef,26.9667,1.0833,43.09,6,8,4.39,DZ,1694961877
286,carrizo springs,28.5219,-99.8606,27.34,73,100,1.54,US,1694961877
287,loch garman,52.3342,-6.4575,15.5,100,100,4.47,IE,1694961878
288,childress,34.4264,-100.204,20.51,94,0,2.44,US,1694961878
289,balakhta,55.38,91.6,11.65,79,28,1.83,RU,1694961878
290,ust-nera,64.5667,143.2,1.66,78,90,0.33,RU,1694961878
291,port macquarie,-31.4333,152.9167,11.05,73,0,3.19,AU,1694961878
292,usinsk,65.9939,57.5281,6.31,68,89,2.18,RU,1694961878
293,namtsy,62.7161,129.6658,1.6,69,100,1.63,RU,1694961879
294,chonchi,-42.6128,-73.8092,7.84,75,18,1.77,CL,1694961879
295,balabac,7.9868,117.0645,27.95,78,12,3.54,PH,1694961879
296,urangan,-25.3,152.9,19.09,76,1,3.1,AU,1694961879
297,qarah bagh,34.9402,61.7759,20.99,21,0,8.4,AF,1694961879
298,samba,32.5667,75.1167,25.91,79,11,0.87,IN,1694961879
299,kalifornsky,60.4183,-151.29,8.55,97,100,0.0,US,1694961880
300,sierra grande,-41.606,-65.3557,11.61,34,7,5.08,AR,1694961880
301,newman,37.3138,-121.0208,16.81,86,8,0.45,US,1694961880
302,vetluzhskiy,58.3902,45.4654,12.25,68,56,2.11,RU,1694961880
303,kayangel,8.0823,134.7173,27.55,78,98,2.65,PW,1694961880
304,antsiranana,-12.2787,49.2917,27.42,54,20,5.14,MG,1694961880
305,antalaha,-14.9003,50.2788,23.58,75,76,3.74,MG,1694961881
306,alness,57.696,-4.2551,15.87,87,91,4.74,GB,1694961881
307,seydi,39.4816,62.9137,23.18,17,0,5.33,TM,1694961881
308,peace river,56.2501,-117.286,7.17,93,75,2.57,CA,1694961881
309,geraldton,-28.7667,114.6,12.23,82,0,4.63,AU,1694961881
310,bafoulabe,13.8065,-10.8321,32.37,57,95,1.8,ML,1694961881
311,calvinia,-31.4707,19.776,17.72,29,0,2.17,ZA,1694961882
312,anacapri,40.5558,14.2136,27.9,65,0,1.54,IT,1694961882
313,faya-largeau,17.9257,19.1043,38.94,9,0,5.74,TD,1694961882
314,tazovsky,67.4667,78.7,7.18,81,100,9.27,RU,1694961882
